,channelTitle,sum_video,sum_views,avg_views,avg_trend_days,sum_trend,avg_freq_trend
783,Aston Martin Red Bull Racing,2,580362,290181.0,3.5,7,3.5
784,Aston Villa FC,5,6370746,1274149.2,6.0,30,6.0
785,AstralSpiff,10,7845201,784520.1,5.0,75,7.5
786,Astro-Tim,2,153813,76906.5,4.5,9,4.5
787,Astronaut Bino,1,352285,352285.0,5.0,5,5.0
788,Astrum,1,1943607,1943607.0,6.0,11,11.0
789,AsumSaus,1,297536,297536.0,6.0,6,6.0
790,At Broski - Die Sport Show,10,1082536,108253.6,4.9,49,4.9
791,At Home With Shannon,3,1468292,489430.6666666667,4.0,21,7.0
792,At Home With The Buckleys,3,271921,90640.33333333333,5.0,15,5.0
793,At The Races,1,186935,186935.0,4.0,4,4.0
794,Atlanta News First ,1,239794,239794.0,2.0,2,2.0
795,AtomicKittenVEVO,2,1067747,533873.5,5.5,11,5.5
796,AttorneyTom,3,5448843,1816281.0,6.333333333333333,25,8.333333333333334
797,Audi,1,309139,309139.0,4.0,4,4.0
